A,B,C
DR KAPIL JAIN  - CENTRAL DELHI,,
DR K V CHALAM  - VIZAG,,
DR K UDAYASRI REDDY - HYDERABAD,,
DR K S UPADHYA  - BANGALORE,,
DR K S SRIDHAR  - MYSORE,,
DR P USHA - HYDERABAD,,
DR P SRINIVAS REDDY - HYDERABAD,,
DR P SATEESH KUMAR  - VISAKHAPATNAM,,
DR P RANJITH KUMAR - MADURAI,,
DR P RANGANADH - VIJAYAWADA,,
DR P RAJASHEKER - HYDERABAD,,
DR P PRASANNA  - MYSORE,,
DR P MOUNIKA - HYDERABAD,,
DR P MADAVA MURTHY  - DAVANGERE,,
DR P K ABDUL SALAM - THALASSERY,,
DR OP GANGWANI  - CENTRAL DELHI,,
DR NIVEDITA - CHENNAI,,
DR NITI KUKREJA - NEW DELHI,,
DR NITESH SINGHAL  - CENTRAL DELHI,,
DR NISHANT MAKHIJA - RAIPUR,,
DR NISHA AGGARWAL - DELHI,,
DR NIRUPMA PUSHKARNA - NODIA,,
DR NIRUPAMA PARWANDA - DELHI,,
DR NIRMALYA MALAKAR - AGARTALA,,
DR NIRMAL KR JAIN - GUWAHATI,,
DR NIRMAL JIGNASU - BARODA,,
DR NIRMAL - MADURAI,,
DR NIRAJ GOENKA - SURAT,,
DR NIMISHA SREEDHAR.N  - KANNUR,,
DR NIMESH SHAH - SURAT,,
DR NILOFER - HYDERABAD,,
DR NIHIT AGRAWAL - JABALPUR,,
DR NIDHI SINGH TANDON - LUCKNOW,,
DR NIDEESH AGARWAL - JODHPUR,,
DR NEVIL B.DOCTOR - SURAT,,
DR NETHRAVATHI  - BANGALORE,,
DR NEETI KUMARI - DEHRADUN,,
DR NEENA CHAUDHARY  - CENTRAL DELHI,,
DR NEELU CHUGH  - CENTRAL DELHI,,
DR NEELOFUR - VIJAYAWADA,,
DR NEELOFAR  - GUNTUR,,
DR NEELIMA POTLURI - HYDERABAD,,
DR NEELIMA PARLAPALLI - TIRUPATHI,,
DR NAZEEBUNISSA - CHENNAI,,
DR NAZAKAT HUSAIN - LUCKNOW,,
DR NAWED KHAN - LUCKNOW,,
DR NAVRAJ SINGH VIRK - DELHI,,
DR NAVNIT HAROR - NEW DELHI,,
DR NAVJOT SINGH ARORA - DELHI,,
DR NATARAJ CM - BANGALORE,,
DR NARMATHA - COIMBATORE,,
DR NARMADA SREENIVASAN - TRICHY,,
DR NARASIMHA MURHY  - BANGALORE,,
DR NANUSOM  - HYDERABAD,,
DR NANDINI NAIR - ERNAKULAM,,
DR NAGRAJU  - HYDERABAD,,
DR NAGENDRA KAMTALWAR - HYDERABAD,,
DR NAGARAJ T S  - BANGALORE,,
DR N VIDYAVATHI - HYDERABAD,,
DR N SUDEENDAR - CHENNAI,,
DR N SRILATHA - HYDERABAD,,
DR N RAMDAS  - GUNTUR,,
DR N MONITHA - HYDERABAD,,
DR N ANAND - CHENNAI,,
DR MUNIRAJU - BANGALORE,,
DR MOUPIA - BANGALORE,,
DR MOUNIKA KETHA - HYDERABAD,,
DR MOUNICA DUKKIPATI - HYDERABAD,,
DR MONTU DEKA  - GUWAHATI,,
DR MONISHA - CHENNAI,,
DR MOHIT NAGPAL - ROHTAK,,
DR MOHIT DHAWAN - ZIRAKPUR,,
DR MOHD MOHTASHIM - ALIGARH,,
DR MOHAN SINGH - PHAGWARA,,
DR MOHAMMED SHEMNADH - KANNUR,,
DR MK AGARWAL  - RAIPUR,,
DR MITHUN DEB - NADIA,,
DR MIR SHAHNAWAZ - SRINAGAR,,
DR MIR MUBASHIR ALI  - HYDERABAD,,
DR MIHEER ( ASG HOSPITAL) - JODHPUR,,
DR MEGHANA MUNAF - VELLORE,,
DR MEGHA PADMANABHA - BANGALORE,,
DR MEGHA MODI  - GHAZIABAD,,
DR MEGHA DHONGRE - VARANASI,,
DR MEGHA CHANDRASHEKAR - BENGALURU,,
DR MEENU SETHI - GURGAON,,
DR MATEEN PARVEZ - DELHI,,
DR RAJAT KANDHARI - NEW DELHI,,
DR RAJAT CHHABRA - JALANDHAR,,
DR RAJASHEKARA - BANGALORE,,
DR RAJA SHAREEF  - TRICHY,,
DR RAJ KISHOR - RANCHI,,
DR RAJ KAMAL YADAV - REWARI,,
DR RAINA NAHAR - MUMBAI,,
DR RAHUL SHETTY - MUMBAI,,
DR RAHUL NAGAR  - CENTRAL DELHI,,
DR RAHUL KURKURE - NASIK,,
DR RAHUL JOSHI  - CENTRAL DELHI,,
DR RAHUL GUPTA  - ALWAR,,
DR RAHUL BALMIKI - LUCKNOW,,
DR RAGHUVEER C - BANGALORE,,
DR RAGHURAM REDDY - HYDERABAD,,
DR RAGHAVENDRA REDDY - HYDERABAD,,
DR RADHA SUBRAMANIAN - CHENNAI,,
DR RADHA PENUMATSA - HYDERABAD,,
DR RADHA GUPTA - MUMBAI,,
DR RACHNA JAGIA - DELHI,,
DR RACHANA SAMPATKUMAR - KOLHAPUR,,
DR RABINDRA BHITE - PUNE,,
DR R.SARAVANAN  - POLLACHI,,
DR R.PARTHIBAN  - COIMBATORE,,
DR R VIKRAM KUMAR  - COIMBATORE,,
DR R SHOBANA SIVARAJA - TANJORE,,
DR R SANDEEP KUMAR - HYDERABAD,,
DR R S SHEETHALAKSHMI - TRICHY,,
DR R S CHHABRA - JALANDHAR,,
DR R RADHIKA - HYDERABAD,,
DR R P SONI  - GUWAHATI,,
DR R P SINGH  - CENTRAL DELHI,,
DR R P PANDEY - LUCKNOW,,
DR R MANONMANI - NAMAKKAL,,
DR R M SINGH - KANPUR,,
DR R KUMAR - DELHI,,
DR R GURUMOORTHI - COIMBATORE,,
DR R D MAKHIJA  - GORAKHPUR,,
DR R D KHARKAR - MUMBAI,,
DR PUSHPENDRA JAIN - FARIDABAD,,
DR PUSHPENDER JAIN  - AMBALA,,
DR PUSHPA K R  - BENGALURU,,
DR PURUSHOTHAM REDDY - HYDERABAD,,
DR PUNIT PRATAP - NOIDA,,
DR PUNEET SOODAN  - JAMMU,,
DR PUNEET SARNA - KASHIPUR,,
DR PUNEET BHARGAVA - JAIPUR,,
DR PUNEESH AGARWAL - LUCKNOW,,
DR PS BHATIA  - KANPUR,,
DR PRIYANKA KURI - BENGALURU,,
DR PRIYANKA IYER - RAJKOT,,
DR PRIYANKA CHALLANI - BHIWANDI,,
DR PRIYADHRSHINI - MADURAI,,
DR PRIYA RAMANATHAN - CHENNAI,,
DR PRIYA GALA - MUMBAI,,
DR PRIYA DIWAKER - KOLKATA,,
DR PRIYA BISWAKUMAR - CHENNAI,,
DR PRIYA - BANGALORE,,
DR PRITVI RAJ  - BANGALORE,,
DR PRITI SHUKLA - HYDERABAD,,
DR PRITAM PANKAJ  - CENTRAL DELHI,,
DR PREMALATHA V - BENGALURU,,
DR PREM RANJAN - RANCHI,,
DR PREM NARAYAN - ERNAKULAM,,
DR PREETHI GONAPATI - HYDERABAD,,
DR PREETHI GONAPATHI - HYDERABAD,,
DR PREETHI - PONDICHERRY,,
DR PRAVEENA  - VIJAYAWADA,,
DR PRATEEK SONDHI - DELHI,,
DR PRASY S - ALAPPUZHA,,
DR PRASHANTH SHIVKUMAR  - BANGALORE,,
DR PRASHANTH SHANKAR - CHENNAI,,
DR PRASHANTH DESAI - DAVANGERE,,
DR PRASHANT SINHA  - ALLAHABAD,,
DR PRASHANT SIMPI - MUMBAI,,
DR PRASHANT AGARWAL  - UDAIPUR,,
DR PRASANTH SANKER  - CHENNAI,,
DR PRASAD CHOWDARY  - RAJAHMUNDRY,,
DR PRANSHU MISHRA - LUCKNOW,,
DR PRANJAL JOSHI - DELHI,,
DR PRAKASH K S - BANGALORE,,
DR PRAJAKATA NIMBALKAR - NAGPUR,,
DR PRAJACT SAO - MUMBAI,,
DR PRAGATHI SANKINENI - KARIMNAGAR,,
DR PRADIP KUMAR SAHANA -  BURDWAN,,
DR PRADEEPKUMARI JAIN - PUNE,,
DR PRACHI BHATTAR - RAIPUR,,
DR PRABHAKAR KORE  - BELGAUM,,
DR PRABHAKAR - CHENNAI,,
DR POONAM VASWANI - MUMBAI,,
DR POONAM SAINI - AMRITSAR,,
DR POONAM PATIL - PUNE,,
DR POONAM NARANG - AMBALA CITY,,
DR POONAM GUPTA - BADAUN,,
DR POOJA V BALRAJ - GULBARGA,,
DR POOJA MITTAL - MOGA,,
DR POOJA GUPTA - BHOPAL,,
DR POOJA CHAUDHARY - AHMEDABAD,,
DR PIYUSH YADAV  - BHARATPUR,,
DR PINKY DEVI AYYAPPAN - BENGALURU,,
DR PERUMAL - CHENNAI,,
DR PENCHALA REDDY  - NELLORE,,
DR PAVITHRA - BANGALORE,,
DR PAVANRAJ - BANGALORE,,
DR PAVAN RAJ  - BANGALORE,,
DR PARTHIBAN  - COIMBATORE,,
DR PARTHASARATHI - BANGALORE,,
DR PARINITHA RAO  - BANGALORE,,
DR PARAG PETHANI - VADODARA,,
DR PANKAJ PAREKH - MUMBAI,,
DR PANKAJ JAISWAL  - BARABANKI,,
DR PALLAVI SHARMA - RUDRAPUR,,
DR PALLAVI ROHATGI - DELHI,,
DR PALLAVI REDDY   - BANGALORE,,
DR PALLAVI B - BANGALORE,,
DR PALLAVI AILAWADI - FARIDABAD,,
DR PALANIYAPPAN - CHENNAI,,
DR PADMAREDDY  - MAHABOOBNAGAR,,
DR PADMANJALI PANDIT - BEED,,
DR P VENKATARAMANA - TIRUPATHI,,
DR P VENKATA RAMANA  - TIRUPATHI,,
DR SANTOSH MEDICALS  - HYDERABAD,,
DR SANJAYA D R - BANGALORE,,
DR SANJAY JOGAD'S - PARBHANI,,
DR SANJAY CHOPRA - MUMBAI,,
DR SANGEETHA SOOJI - VELLORE,,
DR SANDIP AKOLKAR - BARODA,,
DR SANDEEP SHILPI - INDORE,,
DR SANA BHAMLA - MUMBAI,,
DR SAMITA JAIIN - JAIPUR,,
DR SAMER DALAL - AHMEDABAD,,
DR SAMEER MISHRA - FARIDABAD,,
DR SALILL MITTAL  - KOTA,,
DR SALEEM A JAMADAR - GADAG,,
DR SAJID MOGHAL - PUNE,,
DR SAJID MOGHAL  - PUNE,,
DR SAINATH PABITWAR - AKOLA,,
DR SAI KRISHNA  - JANGAON,,
DR SAHIL MRIGPURI - MANDI(HIMACHAL),,
DR SAHANA - CHENNAI,,
DR SADHNA DESHMUKH - MUMBAI,,
DR SACHITH ABRAHAM - BANGALORE,,
DR SACHIN MANOHAR SHETTY - BANGALORE,,
DR SACHIN GOEL - MOGA,,
DR S.S. MANN - AMRITSAR,,
DR S.MANIKYA LATHA - VIJAYAWADA,,
"DR S,KARTHICK RAJA  - CHENNAI",,
DR S VEERANNA  - MYSORE,,
DR S VAMSHI KRISHNA - HYDERABAD,,
DR S SUBASHINI - CHENNAI,,
DR S SATHISH KUMAR - TRICHY,,
DR S S TIWARI - ALLAHABAD,,
DR S RAMAN - CHAMPARAN,,
DR S P SINGH - MATHURA,,
DR S KUMARAVEL - CHENNAI,,
DR S KOPIKA - TENKASI,,
DR S KIRSHNA - HYDERABAD,,
DR S KARTHIK RAJA - CHENNAI,,
DR S K VARSHANEY - MEERUT,,
DR S K MUTHA - INDORE,,
DR S JYOTHI  - COIMBATORE,,
DR S DURGADEVI - MADURAI,,
DR S DEEPA - HYDERABAD,,
DR S B CHILKHALKAR - MUMBAI,,
DR RUTUJA LOKHANDE - PUNE,,
DR RUPALI MOGRE - NAGPUR,,
DR RUPALI BHINGARE - MUMBAI,,
DR RUHI SHAIKH - AURANGABAD,,
DR RUCHI MUTNEJA - LUDHIANA,,
DR RUBINA JASSI - DELHI,,
DR ROSHIN RIYAZ (ENDODIAB) - PERINTHALMANNA,,
DR ROHIT KATARIA - RAJSAMAND,,
DR ROHIT JINDAL - KARNAL,,
DR RIZWAN KHAN - SHAHJAHANPUR,,
DR RIYA RAI PANDEY - VARANASI,,
DR RITUPUSHP - NEW DELHI,,
DR RITU JAIN - ALLAHABAD,,
DR RISHAB CHAUHAN  - ALLAHABAD,,
DR RINI SHARMA - PANIPAT,,
DR RICHA SINGH  - CENTRAL DELHI,,
DR RICHA SALUNKE - NASIK,,
DR RICHA CHAUDHARY - DELHI,,
DR REKHA GONSALVES - MUMBAI,,
DR RAVINDRA DHAVAI  - SIKAR,,
DR RAVINDRA - BANGALORE,,
DR RAVI RATHOD - BANGALORE,,
DR RATAN KUMAR SINGH - LUCKNOW,,
DR RASYA DIXIT  - BANGALORE,,
DR RASNA KAPOOR - MUMBAI,,
DR RASHMI SABHARWAL  - CENTRAL DELHI,,
DR RASHMI MAHAJAN - NEW DELHI,,
DR RANJAN UPADHYAY - DELHI,,
DR RANJAN KUMAR BHASKAR - DELHI,,
DR RANGANATH V T - BANGALORE,,
DR RAMYA SRI - HYDERABAD,,
DR RAMYA - BANGALORE,,
DR RAMSEENA ABDUL RAHMAN - THALASSERY,,
DR RAMESHWARI - CHENNAI,,
DR RAMESH YATAGIRI - BIJAPUR,,
DR RAMESH RAI  - VARANASI,,
DR RAM GULATI - JAIPUR,,
DR RAM B CHOUGULE  - BELGAUM,,
DR RAKHI SOMAN - ALAPPUZHA,,
DR RAKHAVI - TRICHY,,
DR RAKESH KUMAR - DELHI,,
DR RAKESH JANGRA - DELHI,,
DR RAJYA LAXMI  - HYDERABAD,,
DR RAJSHREE CHAUDHARI - NAGPUR,,
DR RAJSHEKARA M.L - BANGALORE,,
DR RAJKUMAR V - BANGALORE,,
DR RAJIV NATHAN - DELHI,,
DR RAJESHWARI K A  - BANGALORE,,
DR RAJESH N - BANGALORE,,
DR RAJESH HN - BANGALORE,,
DR RAJEEV KHULLAR  - JODHPUR,,
DR RAJEEV JAIN   - KOTA,,
DR RAJEEV AGARWAL - LUCKNOW,,
DR RAJDEEP MYSORE - BANGALORE,,
DR SHRIYA DESAI - NASIK,,
DR SHRIDHAR G  - BANGALORE,,
DR SHRICHARITH SHETTY - BANGALORE,,
DR SHREYAS KAMATH - MUMBAI,,
DR SHREYAS - MYSORE,,
DR SHREESHAIL - BENGALURU,,
DR SHRADHA CHOUDHARI - NASIK,,
DR SHRADHA CHOUDHARI  - NASIK,,
DR SHRADDHA SAMANT - PUNE,,
DR SHPK REDDY  - RAJAHMUNDRY,,
DR SHOBHA S RAJU  - BANGALORE,,
DR SHOBANA S - CHENNAI,,
DR SHIVAPRAKASH - BANGALORE,,
DR SHIVANADH D R - BANGALORE,,
DR SHILPI KOHLI KALRA - NAGPUR,,
DR SHILPA JOY - ERNAKULAM,,
DR SHILPA BHAT  - BANGALORE,,
DR SHERMISHTHA VERMA - LUCKNOW,,
DR SHEENA PANDEY - KANPUR,,
DR SHAURYA ROHATGI - MUMBAI,,
DR SHASHANK MISHRA - BAREILLY,,
DR SHARANYA BABU - BANGALORE,,
DR SHARANABASAVA - GULBARGA,,
DR SHANTHINI - CHENNAI,,
DR SHANTANU MISHRA - BILASPUR,,
DR SHANKRE GOWDA - BANGALORE,,
DR SHAMANTH S - BANGALORE,,
DR SHAM KIRAN - BANGALORE,,
DR SHALINI JAIN - ROPAR,,
DR SHAJEERA BEEGAM - KANNUR,,
DR SHAILENDRA SINGH - BHOPAL,,
DR SHAILEJA - BANGALORE,,
DR SHAIKH MOHAMMAD KAYUM - LUCKNOW,,
DR SHAIFALI SINGHAL  - MATHURA,,
DR SHAFQAT SHAH - SRINAGAR,,
DR SHABEEB - BANGALORE,,
DR SENTHILKUMAR  - ERODE,,
DR SELVARAJ - COIMBATORE,,
DR SEJAL SHAH - MUMBAI,,
DR SEEMA SOOD - JALANDHAR,,
DR SAVITHA - CHENNAI,,
DR SAVITA HALWAR - BENGALURU,,
DR SAURAV KISLEY - BANGALORE,,
DR SAURAV KISALAYA  - BANGALORE,,
DR SAURABH MISHRA - DELHI,,
DR SAURABH KUMAR  - BANGALORE,,
DR SATYABRATA TRIPATHY - KOLKATA,,
DR SATPAL YADAV - ALWAR,,
DR SATISH S GOKHALE  - BELGAUM,,
DR SATHYANARAYANAN - CHENNAI,,
DR SATHYANANDA  - TUMKUR,,
DR SASHIKALA CHOUDHARY   - AJMER,,
DR SASHIDHAR T  - BANGALORE,,
DR SAPANA REVANKER - BANGALORE,,
DR. IRENE WILLAMS - CHENNAI,,
DR. GIRISH SHAH - MUMBAI,,
DR. PALLAVI AHIRE SHELKE - PUNE,,
DR. PALLAVI AHIRE SHELKE  - NASHIK,,
DR. POORVA SHAH - PUNE,,
DR. SRIDEVI LAKHE  - PUNE,,
DR.PALLAVI AHIREÂ  SHELLKE - PUNE,,
DR.MINU MENON  - MUMBAI,,
DR.M.BOLLI  - SOLAPUR,,
DR. PANKAJ MANIAR - MUMBAI,,
SONAM JESWANI - MUMBAI,,
MINU MENON - MUMBAI,,
KETAN SHAH - MUMBAI,,
KALPANA SARANGI - MUMBAI,,
DR.SONAM JESWANI - MUMBAI,,
DR ALLI SAMYAMATHAN - BANGALORE,,
DR R.SUBBA RAO-VIJAYAWADA,,
DR PANKAJ SHAH - BARODA,,
KOMAL RAI,,
DR K.V.NAGARAJ - BENGALURU,,
M KRISHNA RAO - TANUKU,,
GALDERMA SAMPLE COCHIN,,
DR S.VIGNESH - MADURAI,,
DR G SURESH-CUDDAPAH,,
DR SUMIT YADAV - ALLAHABAD,,
DR MALTI KHANDAR - BARODA,,
DR RAGHUNATHA REDDY - BANGALORE,,
DR SIDHARTH GAREKAR,,
DR SANTOSH MODI-RANCHI,,
DR AMIT KAPOOR-NOIDA,,
DR PALLVI PATIL - SOLAPUR,,
SHUBHAM SHARMA,,
AMRITA HOSPITAL - FARIDABAD,,
DR GANESH AHVAD - MUMBAI CENTRAL,,
DR DHANYATA PHADTE - MUMBAI,,
DR PAVLEEN KHURANA - HALDWANI,,
DR ABHISHAKE KUMAR - MEERUT,,
GALDERMA SAMPLE CHENNAI,,
DR M SWAPNA - JAGTIAL,,
DR ASEEM CHHIBBER - TARAN TARAN,,
DR NOOPUR JAIN - GURGAON,,
DR MEENU SETHI - DELHI,,
DR SHASHIKANT MALKUD - KALABURAGI,,
RADIANCE PHARMACY - RX ND,,
DR SUBY ARORA - LUCKNOW,,
DR NEETA BHARGAVA - LUCKNOW,,
DR CHARISMA KUNHI KANNAN - ERNAKULAM,,
DR SHIREEN SINGH - GURGAON,,
DR REVANTH BN - BANGALORE,,
DR SOUMYA BHUTE-DHARWAD,,
DR TEENA SINGH - LUCKNOW,,
DR RISHI KUMAR SHARMA - MODINAGAR,,
Dr. K. SATHYA MARIAPPAN - Cuddalore,,
DR RAHUL GOGOI -Guwahati,,
DR M SRINIVASA RAO - VIAJAYWADA,,
APARNA KRISHNAPPA – HYDERABAD,,
DR AISHWARYA PUNDIR - LUCKNOW,,
DR NIKHIL MEHROTRA-NOIDA,,
DR A RATHAN - HYDERABAD,,
DR SANJEEV GULATI-DELHI,,
DR SONIA OBEROI - CHANDIGARH,,
RAMESHWAR SINGH,,
DR PHANI KRISHNA - VIZAG,,
DR AMIT VAID - JAMMU,,
DR SANDEEP MAHAPATRA - BANGALORE,,
PARIJAT PROTEEN AGENCIES,,
Dr. R. GURU - VELLORE,,
Dr K VASANTHI - TRICHY,,
DR. J.ALBERT - VELACHERY,,
DR. A. K. UPADHYAY -GORAKHPUR,,
DR. R. KUMAR - KANPUR,,
DR MAHESH - COCHIN,,
DR IMRAN KHAN - SIKAR,,
B.SANKAR KUMAR - HYDERABAD,,
DR SC MALLICK - BHUBANESWAR,,
DR HERA TABASSUM - DEHRADUN,,
Dr PAVITHRA PRIYADHARSHINI - CHENNAI,,
DR TRUSHA SHAH - AHMEDABAD,,
DR SHIVAM GOYAL - JAIPUR,,
DR MONALI SUTRADHAR -GUWAHATI,,
SUGUNA PUTTOO - HYDERABAD,,
DR SHUCHI VERMA - DELHI,,
DR NAVEEN KAUSHIK- SONEPAT,,
DR AANCHAL PANTH - SURAT,,
DR NEHA RANI - RANCHI,,
R Manikandan -202224952,,
DR PRACHI MATTE-NAGPUR,,
DR.MANISHA KSHIRSAGAR -  MUMBAI CENTRAL,,
VIMALA’S  - HYDERABAD,,
DR.PAVAN SURYAWANSHI - PUNE,,
DR MANOJ HARNARIKAR - (AURANGABAD)(DO NOT USE),,
DR.SUCHITA PARAB -  MUMBAI WESTERN,,
DR SUCHITA PARAB -  MUMBAI WESTERN,,
DR. AMRITA MADNANI -ALLAHABAD,,
DR BODE VENKATESWARAREDDY - TIRUPATHI,,
DR. SHAILENDRA PRATAP SINGH-MATHURA,,
DR MADHAV REDDY - KURNOOL,,
DR.SREELATHA DEVI. R - TRIVANDRUM,,
Dr A DIVYA - VIAJAYWADA,,
DUTTA MEDICAL AGENCIES,,
DR ATTILI SASI KIRAN - VIZAG,,
DR MEHA JAIN - JAIPUR,,
DR.ANJANA GALA - MUMBAI WESTERN,,
DR. S. S. VERMA - RAIPUR,,
DR SHANTIPRASAD TIPPANWAR - KOLHAPUR,,
DR JAVED AKHTAR - LAKHIMPUR,,
DR JASTHI V L SIREESHA,,
DR PARUL JAISWAL - MUMBAI,,
DR AKSHAY TOLANI - NAGPUR,,
DR RAKHEE V NAIR - TRIVANDRUM,,
DR IHSAN AHAMED - CALICUT,,
DR. TAMILARASI - THOOTHIKUDI,,
DR NIVETHA BIMAL - NAGERCOIL,,
DR RAMESH T - BANGALORE,,
DR S PREETHI - THINDIVANAM,,
DR SHAIFALI YADAV - LUCKNOW,,
KAVI TRADERS,,
DR SNEHA KHAINAR - NASIK,,
DR SNEHA GANDHI - KARNAL,,
DR SK NILOFER BHANU - VIJAYAWADA,,
DR SIVARAMAN  - PONDICHERRY,,
DR SIVABHARATHI  - COIMBATORE,,
DR REKHA - BIKANER,,
ABHISHEK BHAGAT - RX,,
DR DIVYANSHU SRIVASTAVA - GORAKHPUR,,
DR ANISHA SETTY - CHANDIGARH,,
DR SWAROOP RANJAN PANI - BHUBANESWAR,,
DR MEERA DAS - BHUBANESWAR,,
JEEMON A J,,
DR SAHITYA TADI - VIZAG,,
DR SEJAL PAREKH - SURAT,,
DR SITARAM L M - SHIMOGA,,
DR SITARAM - BANGALORE,,
DR NISHCHHAL SHRIVASTAVA- NAGPUR,,
DR NAVNEET DEV - NOIDA,,
DR SIRISHA YANGALLA - HYDERABAD,,
DR CHANDINI A - SALIGRAMAM,,
ELIAN-Bhiwandi(NSHIPL),,
SAHAM SARKER,,
DR CHIRANJEEVI Y A - BANGALORE,,
SHINU SUNNY,,
DR SUNIL KOTHIWALA - JAIPUR,,
DR POORVA SHARDA - BHOPAL,,
DR VEDASREE R - MYSORE,,
DR SUNIL K KOTHIWALA  - JAIPUR,,
DR SUMIT YADAV  - ALLAHABAD,,
DR SUNEEL VARTAK - AURANGABAD,,
DR SUMIT GUPTA - LUCKNOW,,
GAGAN DEEP SINGH - RX,,
DR SUMEET AGARWAL - AURANGABAD,,
DR K SRINIVAS - HYDERABAD,,
DR SUMAN SINGH K M - BENGALURU,,
DR SUMAN SINGH - BENGALURU,,
DR SUMAN DUBEY  - RANCHI,,
DR.G.SANDHYA NAIDU,,
DR SUMAN BABU - BANGALORE,,
DR SUKRITI SHARMA - NOIDA,,
DR SUMALATHA REDDY  - NELLORE,,
HIMANSHU WANKHEDE,,
DR SUKHDEV SINGH - PALWAL,,
SHIVAJI SHINDE,,
DR SUJOY GHOSH  - FAIZABAD,,
DR.RENUKA GUPTA - PUNE,,
DR SUKANYA MADHUPAL - CHENNAI,,
SHIVAPUTRA PATIL,,
SOHEL SHIEKH,,
VIGNESHWARAN R,,
AKASH PHARMACY,,
DR M SESHAGIRI RAO - VIZAG,,
DR NISHTHA NANDURKAR - AMRAVATI,,
DR MOULIKA VANGALA - HYDERABAD,,
SAGAR SINGH,,
SWETHA MEDICAL STORES,,
RAJYALAKSHMI MEDICAL STORES,,
DR SUJAY M - BANGALORE,,
DR SUJAT ALI - LUCKNOW,,
DR AISHWARYA MEENALOSHINI - SANKARANKOIL,,
DR R RAJESWARI - CHENNAI,,
SRI MANGAYARKARASI PHARMA,,
DR. VIBHOR KAUSHAL - AGRA,,
DR PALAK GANDHI - AHMEDABAD,,
DR ASHA MOURYA - MUMBAI CENTRAL,,
DR MONALI PATTNAIK - BHUBANESHWAR,,
CLUB99 WELLNESS RESORTS PRIVATE LIMITED-Galderma NIARA AESTHETICS(Dr SONIA RAGHUKUMAR)Pvt.Ltd,,
ESSCO,,
VIJAYA MEDICAL & SURGICALS,,
BANAMBAR SATPATHY,,
DR.RASHMI DUTTA SARKAR-KOLKATA,,
DR K GAYATHRI - GUNTUR,,
DR. VARSHA B.V - BANGALORE,,
DR BHASKAR SHENOY - BANGALORE,,
DR RANJIT BHAGAT - SILIGURI,,
DR SURBHI MAHAJAN - CHANDIGARH,,
PRASHANT PYATIMATH,,
DR BHANU PRIYA .T-PONDICHERRY,,
DR KAVIN.S - VELLORE,,
DR AASHITA - BANGALORE,,
CH.CHANDRASHEKHAR  - KARIM NAGAR,,
DR S. YOGESWARI - VELLORE,,
 DR MASROOR AHMAD WANI - Srinagar do not use,,
DR ISHA SINGH-JAIPUR,,
DR CHETAN SHENDE - NAGPUR,,
DR BALACHANDRA S ANKAD - BAGALKOT,,
DR SREECHANDANA REDDY - KARIM NAGAR,,
SHRIKANT TALWAR,,
DR P. SARASWATHY - CHENNAI,,
DR HIMANSHU BATHAM - BHOPAL,,
DR ANINDITA SARKAR -   DELHI,,
DR YC MINOCHA - LUDHIANA,,
ANIL MEDICAL STORES-Galderma,,
DR SHAILVI BANKA BIYANI - KOLKATA,,
DR GAURI GODSE - MUMBAI,,
DR RASHMI MAHAJAN - BARODA,,
DR DANIEL RAJA - CHENNAI,,
DR SEEMA M SIDDU - MANDYA,,
DR SREEKALA R - TIRUPATHI,,
AGGARWAL MEDIWAYS,,
PISPL-Cochin(GIPL RX-S&B),,
PISPL-Chandigarh(GIPL RX-ND),,
"DR VEENU JINDAL	- DELHI",,
SHIVANSHU TIWARI - RX,,
DR MANIR ANSARI -MOTIHARI,,
SHREYAS SUNIL NAIK - LUCKNOW,,
DR M SAI SUNIL KISHORE - VIZAG,,
DR. R.ZOTHANNGURI(S&B),,
RACHANA DISTRIBUTORS,,
DR KOPAL MAHESWARI - RUDRAPUR,,
AKASH DEEP RX,,
DR JASPREET KAUR - SAHARANPUR,,
ROHAN DEORAS - RX,,
PRIYA SINGH - RX,,
NAVINKUMAR ARUMUGAM - RX,,
NAMRATA PARASHAR  - A&C,,
DR SHUJAT ALI - LUCKNOW,,
PISPL-Nagpur(GIPL RX-S&B),,
DR MITHRA VASANTH VIGNESH - CHENNAI,,
WESTERN MEDICARE MARKETING,,
HARISH BHAYNE-RX,,
DR SUKRITA ARORA - DURG,,
DR. RICHA THAKUR-PATNA,,
DR GAURAV BHASKAR - KARNAL,,
DR SANDIP AGRAWAL - NAGPUR,,
DR SUKUMAR D - MANGALORE,,
DR S K MISHRA - ALLAHABAD,,
DR.ANMOL - MUMBAI,,
DR K.SAI SANDEEPTHI - HYDERABAD,,
DR GEETHA GOPALAKRISHNAN -CALICUT,,
DR LOKANADHA REDDY - BANGALORE,,
DR N INDIRA - GUNTUR,,
DR. AKSHAY KUMAR ROUT - BHUBNESHWAR,,
DR ROBIN CHUGH - MEERUT,,
DR SHUBHI ROY - VARANASI,,
DR S VISHNU VARDHAN REDDY - TIRUPATHI,,
DR VIVEK GUPTA - LUCKNOW,,
DR MIKKY SINGH - BANGALORE,,
DR SHIRAZ NAHA K - CALICUT,,
DR MONIKA MITTAL - CHANDIGARH,,
DR RUCKMANI - CHENNAI,,
DR SHRUTI DEWAN  - DELHI,,
DR KAPIL RAHEJA - JODHPUR,,
DR PALLAVI MUNDE - AURANGABAD,,
DR POOJA DEVI MALIPATIL - BANGALORE,,
DR. K. MUHAMMED - VADAKARA,,
DR DEEPIKA AGARWAL - LUCKNOW,,
GURUVANI RAVU - HYDERABAD,,
